id,Title,Year,Age,IMDb,RTScore,Netflix,Hulu,Prime,Disney,Type
33,Orange Is the New Black,2013,18,8.0,87,1,0,0,0,1
34,The Vampire Diaries,2009,16,7.7,86,1,0,0,0,1
35,Demon Slayer: Kimetsu no Yaiba,2019,18,8.7,86,1,1,0,0,1
36,The Last Dance,2020,16,9.1,86,1,0,0,0,1
37,American Horror Story,2011,18,8.0,86,1,1,1,0,1
38,Elite,2018,18,7.5,86,1,0,0,0,1
39,BoJack Horseman,2014,18,8.7,86,1,0,0,0,1
40,Star Trek: The Next Generation,1987,7,8.6,86,1,1,1,0,1
41,Broadchurch,2013,18,8.4,86,1,0,0,0,1
42,The IT Crowd,2006,16,8.5,86,1,0,0,0,1
43,When They See Us,2019,18,8.9,86,1,0,0,0,1
44,"Love, Death & Robots",2019,18,8.5,86,1,0,0,0,1
45,Schitt's Creek,2015,16,8.5,86,1,0,0,0,1
46,Marvel's Agents of S.H.I.E.L.D.,2013,16,7.5,86,1,0,0,0,1
47,Never Have I Ever,2020,16,7.9,86,1,0,0,0,1
48,The 100,2014,16,7.6,86,1,0,0,0,1
49,American Crime Story,2016,18,8.4,85,1,0,0,0,1
50,The Last Kingdom,2015,18,8.4,85,1,0,0,0,1
51,The End of the F***ing World,2017,18,8.1,85,1,0,0,0,1
52,New Girl,2011,16,7.7,85,1,0,0,0,1
53,Penny Dreadful,2014,18,8.2,85,1,0,1,0,1
54,One Piece,1999,7,8.8,85,1,1,0,0,1
55,Marvel's The Punisher,2017,18,8.5,85,1,0,0,0,1
56,Evil,2019,18,7.7,85,1,0,0,0,1
57,YOU,2018,18,7.7,85,1,0,0,0,1
58,Sense8,2015,18,8.3,84,1,0,0,0,1
59,Making a Murderer,2015,16,8.6,84,1,0,0,0,1
60,Unbelievable,2019,18,8.4,84,1,0,0,0,1
61,Arrow,2012,16,7.5,84,1,0,0,0,1
62,Sex Education,2019,18,8.3,84,1,0,0,0,1
63,Marvel's Jessica Jones,2015,18,7.9,84,1,0,0,0,1
64,Sweet Tooth,2021,16,7.9,84,1,0,0,0,1
65,Good Girls,2018,16,7.8,84,1,1,0,0,1
66,Death Note,2006,16,9.0,84,1,1,0,0,1
67,Gilmore Girls,2000,16,8.1,84,1,0,0,0,1
68,The Legend of Korra,2012,7,8.4,83,1,0,0,0,1
69,How to Get Away with Murder,2014,16,8.1,83,1,1,0,0,1
70,Master of None,2015,18,8.3,83,1,0,0,0,1
71,Chappelle's Show,2003,18,8.7,83,1,0,0,0,1
72,One-Punch Man,2015,7,8.8,83,1,1,0,0,1
73,Downton Abbey,2010,16,8.7,83,1,0,1,0,1
74,Gotham,2014,16,7.8,83,1,0,0,0,1
75,Pose,2018,18,8.6,83,1,0,0,0,1
76,Bodyguard,2018,18,8.1,83,1,0,0,0,1
77,Altered Carbon,2018,18,8.0,83,1,0,0,0,1
78,Ash vs Evil Dead,2015,18,8.4,83,1,0,0,0,1
79,The Sinner,2017,16,7.9,83,1,0,0,0,1
