id,Title,Year,Age,IMDb,RTScore,Netflix,Hulu,Prime,Disney,Type
3416,Pégate a Mick,2014,,,13,0,1,0,0,1
3417,Bioterrorism: The Truth,2016,,,13,0,1,0,0,1
3418,Get Sweaty,2016,,,13,0,1,0,0,1
3419,Entre Caníbales,2015,,,13,0,1,0,0,1
3420,Fantasy Forecast,2016,,,13,0,1,0,0,1
3421,Heart of a Champion,2016,,,13,0,1,0,0,1
3422,Raw. Vegan. Not Gross.,2013,,,13,0,1,0,0,1
3423,ABC News | Garage Geniuses,2016,,,10,0,1,0,0,1
3424,Jenni Rivera La Vida de Una Diva,2013,,,10,0,1,0,0,1
3425,UFC Presents,2013,,,10,0,1,0,0,1
3426,Earth From Above,2011,,,10,0,1,0,0,1
3427,Strait Talk with Matt & LZ,2016,,,10,0,1,0,0,1
3428,Epic Conversations,2016,,,10,0,1,0,0,1
3429,ESL Bootcamp: Immortals,2017,,,10,0,1,0,0,1
3430,Twitter Tech Support,2017,,,10,0,1,0,0,1
3431,On Stage,2017,,,10,0,1,0,0,1
3432,Gen H,2012,,,10,0,1,0,0,1
3433,Because of an Earlier Incident,2012,,,10,0,1,0,0,1
3434,Andy Explores,2019,,,10,0,1,0,0,1
3435,Laughs,2015,,,10,0,1,0,0,1
3436,Technique Critique,2016,,,10,0,1,0,0,1
3437,Time for Bed with Punam Patel,2017,,,10,0,1,0,0,1
3438,A Woman's Job,2017,,,10,0,1,0,0,1
3439,Hello World,2016,,,10,0,1,0,0,1
3440,Modern Baby,2019,,,10,0,1,0,0,1
3441,Tiny Nuts,2014,,,10,0,1,0,0,1
3442,Newsy,2016,,,10,0,1,0,0,1
3443,"Build Small, Live Anywhere",2015,,,10,0,1,0,0,1
3444,Going Si-ral,2016,,,10,0,1,0,0,1
3445,ABC News | Features,2016,,,10,0,1,0,0,1
3446,The Boys,2019,18,8.7,93,0,0,1,0,1
3447,Dexter,2006,18,8.6,92,0,0,1,0,1
3448,House,2004,16,8.7,92,0,0,1,0,1
3449,Mr. Robot,2015,18,8.5,91,0,0,1,0,1
3450,The Expanse,2015,16,8.5,90,0,0,1,0,1
3451,Bosch,2015,18,8.4,88,0,0,1,0,1
3452,Invincible,2021,18,8.7,88,0,0,1,1,1
3453,Fleabag,2016,18,8.7,88,0,0,1,0,1
3454,The Americans,2013,18,8.4,87,0,0,1,0,1
3455,Billions,2016,18,8.4,87,0,0,1,0,1
3456,The Marvelous Mrs. Maisel,2017,18,8.7,86,0,0,1,0,1
3457,Psych,2006,7,8.3,86,0,0,1,0,1
3458,The Night Manager,2016,16,8.1,86,0,0,1,0,1
3459,Unforgotten,2018,18,8.3,85,0,0,1,0,1
3460,Orphan Black,2013,18,8.3,85,0,0,1,0,1
3461,Chuck,2007,16,8.2,85,0,1,1,0,1
3462,The Fall,2013,18,8.1,85,0,0,1,0,1
3463,Tom Clancy's Jack Ryan,2018,18,8.1,84,0,0,1,0,1
3464,The Pacific,2010,18,8.3,83,0,0,1,0,1
3465,Good Omens,2019,18,8.1,83,0,0,1,0,1
3466,The Man in the High Castle,2015,18,8.0,83,0,0,1,0,1
3467,Grimm,2011,16,7.8,83,0,0,1,0,1
3468,The Family Man,2019,16,8.8,83,0,0,1,0,1
3469,Upload,2020,18,8.0,82,0,0,1,0,1
3470,Counterpart,2017,18,8.1,82,0,0,1,0,1
3471,Monk,2002,16,8.0,81,0,0,1,0,1
3472,The Grand Tour,2016,16,8.7,81,0,0,1,0,1
3473,Black Books,2000,7,8.5,81,0,0,1,0,1
3474,Californication,2007,18,8.3,81,0,0,1,0,1
3475,Eureka,2006,16,7.9,81,0,0,1,0,1
3476,Animal Kingdom,2016,18,8.2,80,0,0,1,0,1
3477,Humans,2015,16,8.0,80,0,0,1,0,1
3478,Endeavour,2013,16,8.6,80,0,0,1,0,1
3479,Alias,2001,16,7.6,80,0,0,1,0,1
3480,The Missing,2014,18,8.2,80,0,0,1,0,1
3481,Sneaky Pete,2015,18,8.1,79,0,0,1,0,1
3482,Father Ted,1995,16,8.6,79,0,0,1,0,1
3483,The Mentalist,2008,16,8.1,79,0,0,1,0,1
3484,The Thick of It,2005,18,8.7,79,0,0,1,0,1
3485,The Lost Room,2006,7,8.2,79,0,0,1,0,1
3486,River,2015,7,8.0,79,0,0,1,0,1
3487,The Affair,2014,18,7.9,78,0,0,1,0,1
3488,Undone,2019,18,8.2,78,0,0,1,0,1
3489,Poldark,2015,16,8.3,78,0,0,1,0,1
3490,Carnival Row,2019,18,7.9,78,0,0,1,0,1
3491,Wayne,2019,18,8.4,78,0,0,1,0,1
3492,Farscape,1999,16,8.2,78,0,0,1,0,1
3493,Victoria,2016,16,8.2,78,0,0,1,0,1
3494,Goliath,2016,16,8.1,77,0,0,1,0,1
3495,Catastrophe,2015,18,8.2,77,0,0,1,0,1
3496,Hanna,2019,18,7.5,77,0,0,1,0,1
3497,SpongeBob SquarePants,1999,7,8.2,77,0,0,1,0,1
3498,Extras,2005,18,8.3,77,0,0,1,0,1
3499,Two and a Half Men,2003,16,7.0,77,0,0,1,0,1
3500,Escape at Dannemora,2018,18,8.0,77,0,0,1,0,1
3501,Patriot,2015,18,8.3,77,0,0,1,0,1
3502,Modern Love,2019,18,8.0,76,0,0,1,0,1
3503,Clarkson's Farm,2021,7,9.2,76,0,0,1,0,1
3504,Gavin & Stacey,2007,16,8.1,75,0,0,1,0,1
3505,Homecoming,2018,18,7.5,74,0,0,1,0,1
3506,City on a Hill,2019,18,7.6,74,0,0,1,0,1
3507,Patrick Melrose,2018,18,8.1,74,0,0,1,0,1
3508,Queer as Folk,1999,18,8.2,74,0,0,1,0,1
3509,Flack,2019,16,7.2,74,0,0,1,0,1
3510,Mozart in the Jungle,2014,18,8.1,74,0,0,1,0,1
3511,The Tick,2016,7,7.4,74,0,0,1,0,1
3512,Tales from the Loop,2020,18,7.5,72,0,0,1,0,1
3513,Fortitude,2015,18,7.4,72,0,0,1,0,1
3514,The Tunnel,2013,18,7.9,72,0,0,1,0,1
3515,The Wilds,2020,16,7.3,72,0,0,1,0,1
3516,A Very English Scandal,2018,16,7.7,72,0,0,1,0,1
3517,Salvation,2017,16,7.0,72,0,0,1,0,1
3518,The Underground Railroad,2021,18,7.3,72,0,0,1,0,1
3519,Red Oaks,2014,18,7.9,72,0,0,1,0,1
3520,Tell Me Your Secrets,2021,18,7.4,72,0,0,1,0,1
3521,Transparent,2014,18,7.7,72,0,0,1,0,1
3522,Loudermilk,2017,18,7.8,72,0,0,1,0,1
3523,Britannia,2018,16,6.8,72,0,0,1,0,1
3524,ZeroZeroZero,2020,18,8.2,71,0,0,1,0,1
3525,Philip K. Dick's Electric Dreams,2017,18,7.3,71,0,0,1,0,1
3526,Vinland Saga,2019,,8.8,71,0,0,1,0,1
3527,Truth Seekers,2020,16,7.1,71,0,0,1,0,1
3528,"Magnum, P.I.",1980,7,7.5,70,0,0,1,0,1
3529,Hunters,2020,18,7.2,70,0,0,1,0,1
3530,"Eerie, Indiana",1991,7,8.2,70,0,0,1,0,1
3531,The Andy Griffith Show,1960,all,8.3,70,0,0,1,0,1
3532,Mirzapur,2018,18,8.4,69,0,0,1,0,1
3533,Sanctuary,2008,7,7.3,69,0,0,1,0,1
3534,Them,2021,,7.3,69,0,0,1,0,1
3535,Detectorists,2014,16,8.6,69,0,0,1,0,1
3536,Tin Star,2017,18,7.3,69,0,0,1,0,1
3537,The Durrells,2016,7,8.2,69,0,0,1,0,1
3538,Ordeal by Innocence,2018,,7.3,69,0,0,1,0,1
3539,Get Shorty,2017,18,8.2,69,0,0,1,0,1
3540,Thirteen,2016,18,7.2,69,0,0,1,0,1
3541,The Returned,2015,18,7.1,68,0,0,1,0,1
3542,Trapped,2015,7,8.1,68,0,0,1,0,1
3543,ALF,1986,all,7.4,68,0,0,1,0,1
3544,Informer,2018,18,7.8,68,0,0,1,0,1
3545,Alex Rider,2020,16,7.6,68,0,0,1,0,1
3546,Jesus of Nazareth,1977,7,8.5,68,0,0,1,0,1
3547,The Cosby Show,1984,all,7.3,68,0,0,1,0,1
3548,Absentia,2017,18,7.3,67,0,0,1,0,1
3549,Grantchester,2014,16,7.9,67,0,0,1,0,1
3550,The Men Who Built America,2012,7,8.6,67,0,0,1,0,1
3551,Too Old to Die Young,2019,18,7.4,67,0,0,1,0,1
3552,Forever,2018,18,7.2,67,0,0,1,0,1
3553,Dororo,2019,18,8.4,67,0,0,1,0,1
3554,Good Girls Revolt,2015,18,8.2,67,0,0,1,0,1
3555,Secret Diary of a Call Girl,2007,18,7.4,67,0,0,1,0,1
3556,Mad Dogs,2015,18,7.5,67,0,0,1,0,1
3557,Home Fires,2015,7,8.2,66,0,0,1,0,1
3558,Jean-Claude Van Johnson,2016,7,7.6,66,0,0,1,0,1
3559,The Honeymooners,1952,all,8.6,66,0,0,1,0,1
3560,Isabel,2012,7,8.3,66,0,0,1,0,1
3561,Vanity Fair,2018,7,7.3,66,0,0,1,0,1
3562,Lewis,2007,16,8.0,66,0,0,1,0,1
3563,Mad About You,1992,16,6.7,66,0,0,1,0,1
3564,How the Universe Works,2010,7,8.9,66,0,0,1,0,1
3565,Mister Rogers' Neighborhood,1968,all,8.6,65,0,0,1,0,1
3566,Made In Abyss,2017,18,8.4,65,0,0,1,0,1
3567,Hand of God,2014,7,7.5,65,0,0,1,0,1
3568,Silent Witness,1996,16,7.8,65,0,0,1,0,1
3569,Arthur,1996,7,7.3,65,0,0,1,0,1
3570,The Carol Burnett Show,1967,all,8.7,65,0,0,1,0,1
3571,Howards End,2017,7,7.3,64,1,0,1,0,1
3572,Wildfire,2005,16,7.6,64,0,0,1,0,1
3573,A Gifted Man,2011,7,7.0,64,0,0,1,0,1
3574,Dance Academy,2010,16,8.1,64,0,0,1,0,1
3575,Making the Cut,2020,16,6.6,64,0,0,1,0,1
3576,Man vs. Wild,2006,7,8.1,64,0,0,1,0,1
3577,Breaking In,2011,16,7.1,64,0,0,1,0,1
3578,Bottom,1991,18,8.2,64,0,0,1,0,1
3579,Paatal Lok,2020,18,7.8,64,0,0,1,0,1
3580,Alpha House,2013,16,7.6,64,0,0,1,0,1
3581,NOVA,1974,7,8.7,64,0,0,1,0,1
3582,Hustle,2006,16,8.1,64,0,0,1,0,1
3583,Doctor Thorne,2016,16,7.3,64,0,0,1,0,1
3584,The Royals,2015,16,7.5,64,0,0,1,0,1
3585,Fresh Meat,2011,18,7.8,64,0,0,1,0,1
3586,The League of Gentlemen,1999,18,8.4,64,0,0,1,0,1
3587,American Experience,1988,7,8.6,64,0,0,1,0,1
3588,4 Blocks,2017,7,8.2,64,0,0,1,0,1
3589,The A Word,2016,18,7.8,63,0,0,1,0,1
3590,Small Axe,2020,18,7.9,63,0,0,1,0,1
3591,Breathe,2018,18,8.3,63,0,0,1,0,1
3592,Panic,2021,16,6.5,63,0,0,1,0,1
3593,Survivorman,2004,7,8.2,63,0,0,1,0,1
3594,Utopia,2020,,6.7,63,0,0,1,0,1
3595,Banana Fish,2018,,8.2,63,0,0,1,0,1
3596,Sonic the Hedgehog,1993,7,6.8,63,0,1,1,0,1
3597,Mission: Impossible,1966,7,7.6,63,0,0,1,0,1
3598,The Storyteller,1988,,8.9,62,0,0,1,0,1
3599,Between Two Ferns with Zach Galifianakis,2008,16,8.4,62,0,0,1,0,1
3600,Guilt,2016,16,6.0,62,0,0,1,0,1
3601,Grounded for Life,2001,16,7.4,62,0,0,1,0,1
3602,The Last Tycoon,2016,7,7.7,62,0,0,1,0,1
3603,Lore,2017,16,6.7,62,0,0,1,0,1
3604,Cops,1989,18,7.0,62,0,0,1,0,1
3605,Survivor's Remorse,2014,18,7.0,62,0,0,1,0,1
3606,Comrade Detective,2017,18,7.3,62,0,0,1,0,1
3607,A Bit of Fry and Laurie,1989,16,8.3,62,0,0,1,0,1
3608,Wolfblood,2013,7,7.6,62,0,0,1,0,1
3609,Neverland,2011,7,6.4,62,0,0,1,0,1
3610,Just Add Magic,2015,7,8.3,62,0,0,1,0,1
3611,Malgudi Days,1987,all,9.5,62,0,0,1,0,1
3612,Dark Shadows,1966,7,7.5,62,0,0,1,0,1
3613,The Widow,2019,18,6.9,61,0,0,1,0,1
3614,El Cid,2020,16,6.5,61,0,0,1,0,1
3615,All or Nothing: Manchester City,2018,all,8.2,61,0,0,1,0,1
3616,Totally Spies!,2001,7,7.0,61,0,0,1,0,1
3617,Underbelly,2008,18,8.1,61,0,0,1,0,1
3618,Our Girl,2014,16,7.7,61,0,0,1,0,1
3619,DOM,2021,,7.2,61,0,0,1,0,1
3620,Reading Rainbow,1983,all,8.4,61,0,0,1,0,1
3621,"Kill Me, Heal Me",2015,16,8.3,61,0,0,1,0,1
3622,Ted Bundy: Falling for a Killer,2020,18,7.9,61,0,0,1,0,1
3623,"Dr. Quinn, Medicine Woman",1993,7,6.7,60,0,0,1,0,1
3624,Z: The Beginning of Everything,2017,7,7.1,60,0,0,1,0,1
3625,The Romanoffs,2018,18,7.0,60,0,0,1,0,1
3626,Republic of Doyle,2010,16,7.4,60,0,0,1,0,1
3627,Inside Edge,2017,18,8.0,60,0,0,1,0,1
3628,The Feed,2019,16,6.3,60,0,0,1,0,1
3629,The Last Post,2017,18,7.2,60,0,0,1,0,1
3630,I Shouldn't Be Alive,2005,7,8.1,60,0,0,1,0,1
3631,A French Village,2009,,8.4,60,0,0,1,0,1
3632,Halo 4: Forward Unto Dawn,2012,16,6.9,60,0,0,1,0,1
3633,Four More Shots Please,2019,18,6.4,60,0,0,1,0,1
3634,James May: Our Man In Japan,2020,,8.4,60,0,0,1,0,1
3635,The Lost World,1999,7,7.2,60,0,0,1,0,1
3636,All or Nothing: Tottenham Hotspur,2020,16,8.2,59,0,0,1,0,1
3637,All or Nothing,2016,18,8.6,59,0,0,1,0,1
3638,Appropriate Adult,2011,18,7.5,59,0,0,1,0,1
3639,Mr. Bean: The Animated Series,2002,all,6.9,59,0,0,1,0,1
3640,Picnic at Hanging Rock,2018,16,6.2,59,0,0,1,0,1
3641,Frontline,1983,18,8.6,59,0,0,1,0,1
3642,Little Women,2017,7,7.2,59,0,0,1,0,1
3643,Solos,2021,,5.8,59,0,0,1,0,1
3644,Earth: Final Conflict,1997,7,6.2,59,0,0,1,0,1
3645,The ABC Murders,2018,16,6.6,59,0,0,1,0,1
3646,Indian Summers,2015,7,7.3,59,0,0,1,0,1
3647,Sea Patrol,2007,7,7.5,59,0,0,1,0,1
3648,Inside Men,2012,16,7.3,59,0,0,1,0,1
3649,The Backyardigans,2004,7,7.0,59,0,0,1,0,1
3650,ReGenesis,2004,18,7.9,59,0,0,1,0,1
3651,Ghost Hunters,2004,7,6.2,59,0,0,1,0,1
3652,September Mornings,2021,,7.1,59,0,0,1,0,1
3653,Blood & Treasure,2019,16,6.7,58,0,0,1,0,1
3654,Betas,2013,18,7.0,58,0,0,1,0,1
3655,The Test: A New Era For Australia's Team,2020,16,8.9,58,0,0,1,0,1
3656,Falling Water,2016,16,6.5,58,0,0,1,0,1
3657,Made in Heaven,2019,18,8.3,58,0,0,1,0,1
3658,Hunting Hitler,2015,16,7.4,58,0,0,1,0,1
3659,A Different World,1987,7,6.9,58,0,0,1,0,1
3660,Wotakoi: Love is Hard for Otaku,2018,16,7.6,58,0,0,1,0,1
3661,Laakhon Mein Ek,2017,16,8.2,58,0,0,1,0,1
3662,Dilbert,1999,7,7.3,58,0,0,1,0,1
3663,Time Team,1994,all,8.5,57,0,0,1,0,1
3664,Cagney & Lacey,1982,7,6.8,57,0,0,1,0,1
3665,Paradise City,2021,,6.9,57,0,0,1,0,1
3666,Cyberchase,2002,all,6.8,57,0,0,1,0,1
3667,The Pale Horse,2020,all,6.1,57,0,0,1,0,1
3668,Wild Kratts,2011,all,7.7,57,0,0,1,0,1
3669,Pingu,1986,all,7.4,57,0,0,1,0,1
3670,Breathe: Into the Shadows,2020,,7.7,57,0,0,1,0,1
3671,Bubble Guppies,2011,all,6.4,57,0,0,1,0,1
3672,Clifford the Big Red Dog,2000,all,6.6,57,0,0,1,0,1
3673,The Reagans,2020,7,6.5,57,0,0,1,0,1
3674,Inazuma Eleven,2008,7,8.0,57,0,0,1,0,1
3675,Drifters,2013,18,7.7,57,0,0,1,0,1
3676,Touching Evil,1997,,7.9,57,0,0,1,0,1
3677,Thunderbirds,1965,7,7.9,56,0,0,1,0,1
3678,Thriller,1960,,8.2,56,1,0,1,0,1
3679,Gortimer Gibbon's Life on Normal Street,2014,all,8.3,56,0,0,1,0,1
3680,The Bernie Mac Show,2001,7,7.0,56,0,0,1,0,1
3681,Dr. G: Medical Examiner,2004,16,8.4,56,0,0,1,0,1
3682,David Copperfield,1999,7,7.7,56,0,0,1,0,1
3683,Say Yes to the Dress,2007,7,5.6,56,0,0,1,0,1
3684,Red Rock,2015,7,7.7,56,0,0,1,0,1
3685,Almost Royal,2014,7,7.3,56,0,0,1,0,1
3686,Wu-Tang Clan: Of Mics and Men,2019,18,8.2,56,0,0,1,0,1
3687,Daniel Tiger's Neighborhood,2012,all,7.4,56,0,0,1,0,1
3688,Criminal Minds: Suspect Behavior,2011,16,6.3,56,0,0,1,0,1
3689,Whites,2010,18,7.6,56,0,0,1,0,1
3690,The Slave Hunters,2010,,8.7,56,0,0,1,0,1
3691,The Devil's Whore,2008,,7.1,56,0,0,1,0,1
3692,How the States Got Their Shapes,2010,7,8.1,56,0,0,1,0,1
3693,One Mississippi,2016,18,7.4,56,0,0,1,0,1
3694,Rick Steves' Europe,2000,all,8.5,56,0,0,1,0,1
3695,Our Mutual Friend,1998,,8.1,56,0,0,1,0,1
3696,London Kills,2019,16,6.7,55,0,0,1,0,1
3697,Hell Girl,2005,18,7.5,55,0,0,1,0,1
3698,Grand Blue,2018,18,7.9,55,0,0,1,0,1
3699,Cuffs,2015,16,7.4,55,0,0,1,0,1
3700,She Was Pretty,2015,,7.7,55,0,0,1,0,1
3701,Dora the Explorer,2000,all,4.2,55,0,0,1,0,1
3702,Counting Cars,2012,7,7.0,55,0,0,1,0,1
3703,Home and Away,1988,7,5.1,55,0,0,1,0,1
3704,Hamish Macbeth,1995,,7.8,55,0,0,1,0,1
3705,A Very British Coup,1988,18,8.3,55,0,0,1,0,1
3706,Titanic,2012,16,6.0,55,0,0,1,0,1
3707,Edwardian Farm,2010,,8.8,55,0,0,1,0,1
3708,Texas Rising,2015,16,6.7,55,0,0,1,0,1
3709,"Nu, pogodi!",1969,,8.6,55,0,0,1,0,1
3710,Oliver Twist,2007,7,7.4,55,0,0,1,0,1
3711,World’s Toughest Race: Eco-Challenge Fiji,2020,16,7.6,55,0,0,1,0,1
3712,Father Knows Best,1954,all,7.4,54,0,0,1,0,1
3713,Legend of Earthsea,2004,,5.7,54,0,0,1,0,1
3714,I Love Dick,2016,16,6.3,54,0,0,1,0,1
3715,The Ray Bradbury Theater,1985,,7.5,54,0,0,1,0,1
3716,Rocco Schiavone,2016,7,7.6,54,0,0,1,0,1
3717,WordWorld,2007,all,6.7,54,0,0,1,0,1
3718,The Collection,2016,18,7.1,54,0,0,1,0,1
3719,Beecham House,2019,16,6.7,54,0,0,1,0,1
3720,The Twelve Kingdoms,2002,16,8.1,54,0,0,1,0,1
3721,The Way We Live Now,2001,16,7.6,54,0,0,1,0,1
3722,Land of the Lustrous,2017,16,8.0,54,0,0,1,0,1
3723,Rowan & Martin's Laugh-In,1967,7,8.0,54,0,0,1,0,1
3724,Super Wings!,2014,all,6.2,54,0,0,1,0,1
3725,Touched by an Angel,1994,7,6.0,54,0,0,1,0,1
3726,The Border,2008,7,7.0,54,0,0,1,0,1
3727,Victorian Farm,2009,,8.7,54,0,0,1,0,1
3728,Crisis in Six Scenes,2016,all,6.6,54,0,0,1,0,1
3729,American Playboy: The Hugh Hefner Story,2017,18,7.5,54,0,0,1,0,1
3730,The Street,2006,18,8.3,54,0,0,1,0,1
3731,Tales of the Unexpected,1979,7,7.7,54,0,0,1,0,1
3732,Meerkat Manor,2005,,8.3,54,0,0,1,0,1
3733,My Mother and Other Strangers,2016,16,7.5,54,0,0,1,0,1
3734,Charles II: The Power and The Passion,2003,16,7.5,53,0,0,1,0,1
3735,Moby Dick,1998,7,6.5,53,0,0,1,0,1
3736,A Cook's Tour,2002,16,8.2,53,0,0,1,0,1
3737,Beat,2018,18,7.4,53,0,0,1,0,1
3738,Long Strange Trip,2017,18,8.2,53,0,0,1,0,1
3739,Middlemarch,1994,,7.4,53,0,0,1,0,1
3740,Wahlburgers,2014,16,6.8,53,0,0,1,0,1
3741,Island at War,2004,,7.6,53,0,0,1,0,1
3742,We Children from Bahnhof Zoo,2021,,6.3,53,0,0,1,0,1
3743,Kung Fu Panda: The Paws of Destiny,2018,7,7.6,53,0,0,1,0,1
3744,The Bold and the Beautiful,1987,16,3.4,53,0,0,1,0,1
3745,Lucky Dog,2013,all,8.5,53,0,0,1,0,1
3746,Team Umizoomi,2010,all,6.0,53,0,0,1,0,1
3747,GRAND PRIX Driver,2018,7,7.6,53,0,0,1,0,1
3748,Gordon Ramsay's Ultimate Cookery Course,2012,,8.4,53,0,0,1,0,1
3749,Moon Embracing the Sun,2012,7,8.0,53,0,0,1,0,1
3750,The Forgotten Army - Azaadi ke liye,2020,18,8.1,53,0,0,1,0,1
3751,RahXephon,2002,16,7.2,53,0,0,1,0,1
3752,Accidentally on Purpose,2009,7,6.3,52,0,0,1,0,1
3753,Hammer House of Horror,1980,18,7.7,52,0,0,1,0,1
3754,Rescue: Special Ops,2009,,7.4,52,0,0,1,0,1
3755,Everest: Beyond the Limit,2006,7,8.3,52,0,0,1,0,1
3756,Odd Squad,2014,all,6.5,52,0,0,1,0,1
3757,Detective Anna,2016,,8.0,52,0,0,1,0,1
3758,Sarazanmai,2019,7,7.0,52,0,0,1,0,1
3759,One Step Beyond,1959,all,7.8,52,0,0,1,0,1
3760,Everyday Driver,2017,,9.3,52,0,0,1,0,1
3761,The Island with Bear Grylls,2014,16,7.4,52,0,0,1,0,1
3762,Here's Lucy,1968,all,6.9,52,0,0,1,0,1
3763,Hotel Impossible,2012,7,7.8,52,0,0,1,0,1
3764,Zoboomafoo,1999,7,7.5,52,0,0,1,0,1
3765,Jessica,2004,16,7.6,52,0,0,1,0,1
3766,The Passing Bells,2014,7,6.9,52,0,0,1,0,1
3767,Pandora,2019,7,4.2,52,1,0,1,0,1
3768,Luxe Listings Sydney,2021,,6.2,52,0,0,1,0,1
3769,The Hunger,1997,18,6.3,52,0,0,1,0,1
3770,Lorena,2019,18,7.2,52,0,0,1,0,1
3771,Harmony with A R Rahman,2018,,9.2,52,0,0,1,0,1
3772,You Are Wanted,2017,7,6.0,52,0,0,1,0,1
3773,The Time of Our Lives,2013,,7.9,52,0,0,1,0,1
3774,7 Deadly Sins,2014,18,7.1,52,0,0,1,0,1
3775,Grace Under Fire,1993,7,6.4,52,0,0,1,0,1
3776,Himouto! Umaru-chan,2015,16,7.0,52,0,0,1,0,1
3777,Story of Yanxi Palace,2018,,8.2,52,0,0,1,0,1
3778,The Big Comfy Couch,1993,all,7.2,52,0,0,1,0,1
3779,David the Gnome,1985,all,7.4,52,0,0,1,0,1
3780,Free to Choose,1980,,9.1,51,0,0,1,0,1
3781,All or Nothing: New Zealand All Blacks,2018,16,8.1,51,0,0,1,0,1
3782,Teen Mom OG,2009,7,3.6,51,0,0,1,0,1
3783,Miami Ink,2005,7,6.5,51,0,0,1,0,1
3784,Beowulf: Return to the Shieldlands,2016,7,5.8,51,0,0,1,0,1
3785,Cosby,1996,7,6.3,51,0,0,1,0,1
3786,The Boarding School: Las Cumbres,2021,,6.5,51,0,0,1,0,1
3787,Mayday,2013,,6.7,51,0,0,1,0,1
3788,The Real McCoys,1957,16,7.6,51,0,0,1,0,1
3789,I Love Money,2008,,6.1,51,0,0,1,0,1
3790,Bobby's World,1990,all,7.3,51,0,0,1,0,1
3791,Leo the Wildlife Ranger,2015,,6.8,51,0,0,1,0,1
3792,Safe House,2015,18,6.4,51,0,0,1,0,1
3793,The Saddle Club,2001,all,6.1,51,0,0,1,0,1
3794,The Principal,2015,,7.5,51,0,0,1,0,1
3795,Secret Agent,1965,7,8.2,51,0,0,1,0,1
3796,The Vineyard,2021,,7.1,51,0,0,1,0,1
3797,Tandav,2021,18,3.8,51,0,0,1,0,1
3798,James May: Oh Cook!,2020,,7.6,51,0,0,1,0,1
3799,Amazon,1999,,7.6,51,0,0,1,0,1
3800,The New Yorker Presents,2016,18,6.6,51,0,0,1,0,1
3801,Oddities,2010,7,8.0,51,0,0,1,0,1
3802,The Secret World of Nature: Spain,2020,7,9.6,51,0,0,1,0,1
3803,Aristocrats,1999,7,7.3,51,0,0,1,0,1
3804,Littlest Pet Shop,2012,all,6.2,51,0,0,1,0,1
3805,Hole in the Wall,2008,all,3.2,51,1,0,1,0,1
3806,The Scholar Who Walks the Night,2015,,7.3,50,0,0,1,0,1
3807,Murder Calls,2017,16,7.7,50,0,0,1,0,1
3808,Hitorijime My Hero,2017,,7.1,50,0,0,1,0,1
3809,Charlie and Lola,2005,all,6.7,50,0,0,1,0,1
3810,Land of the Lost,1991,all,6.9,50,0,0,1,0,1
3811,Continuum,2012,,6.5,50,0,0,1,0,1
3812,Making Their Mark,2021,,8.5,50,0,0,1,0,1
3813,Frank of Ireland,2021,,6.7,50,0,0,1,0,1
3814,Where on Earth is Carmen Sandiego?,1994,all,7.3,50,0,0,1,0,1
3815,Bat Masterson,1958,16,7.4,50,0,0,1,0,1
3816,Lillie,1978,,8.1,50,0,0,1,0,1
3817,Einstein,2017,,6.5,50,0,0,1,0,1
3818,Féminin/Féminin,2014,16,8.4,50,0,0,1,0,1
3819,The Last Place on Earth,1985,,8.2,50,0,0,1,0,1
3820,Becoming Human,2011,16,7.4,50,0,0,1,0,1
3821,The Jury,2002,18,7.8,50,0,0,1,0,1
3822,James May's Toy Stories,2009,7,8.1,50,0,0,1,0,1
3823,Mamon,2015,,7.4,50,0,0,1,0,1
3824,Prime Suspect: Tennison,2017,16,7.5,50,0,0,1,0,1
3825,Ax Men,2008,7,5.5,50,0,0,1,0,1
3826,Inuyashiki Last Hero,2017,,6.6,50,0,0,1,0,1
3827,On Death Row,2012,16,8.0,50,0,0,1,0,1
3828,El Presidente,2020,16,7.2,49,0,0,1,0,1
3829,Celebrity Ghost Stories,2009,7,7.1,49,0,0,1,0,1
3830,Mike Hammer,1984,7,6.9,49,0,0,1,0,1
3831,Bridget & Eamon,2016,16,7.7,49,0,0,1,0,1
3832,Secrets of the Castle,2014,,8.6,49,0,0,1,0,1
3833,Le Mans: Racing is Everything,2017,7,7.3,49,0,0,1,0,1
3834,Superheroes: A Never-Ending Battle,2013,7,8.1,49,0,0,1,0,1
3835,The Busy World of Richard Scarry,1994,all,7.5,49,0,0,1,0,1
3836,King of the Road,2016,16,8.9,49,0,0,1,0,1
3837,Secret Smile,2005,,6.9,49,0,0,1,0,1
3838,The Delivery Man,2015,16,7.2,49,0,0,1,0,1
3839,Battle 360°,2008,7,8.4,49,0,0,1,0,1
3840,This Giant Beast That is the Global Economy,2019,16,7.8,49,0,0,1,0,1
3841,LoliRock,2014,all,7.3,49,0,0,1,0,1
3842,Strange Empire,2014,16,6.4,49,0,0,1,0,1
3843,The Greatest Love,2011,16,7.8,49,0,0,1,0,1
3844,Cybersix,1999,16,7.8,49,0,0,1,0,1
3845,The Dangerous Book for Boys,2018,7,6.0,49,0,0,1,0,1
3846,Empresses In The Palace,2011,7,8.4,49,0,0,1,0,1
3847,Captain Scarlet and the Mysterons,1967,all,7.8,49,0,0,1,0,1
3848,Stingray,1964,,7.3,49,0,0,1,0,1
3849,Survive This,2009,7,6.7,49,0,0,1,0,1
3850,Unscripted,2005,,7.3,49,0,0,1,0,1
